Recorder,Recordee,Contact Time,Start,End,Order,ICT
1,2,1,76859,76859,1,0
1,2,1,85100,85100,2,8241
1,2,8,180538,180545,3,95438
1,2,1,250344,250344,4,69799
1,3,1,22268,22268,1,0
1,3,1,81357,81357,2,59089
1,3,1,81824,81824,3,467
1,3,1,91070,91070,4,9246
1,3,1,96134,96134,5,5064
1,3,1,178819,178819,6,82685
1,3,1,192269,192269,7,13450
1,3,1,257414,257414,8,65145
1,3,1,257994,257994,9,580
1,3,111,258599,258709,10,605
1,4,701,21796,22496,1,0
1,4,356,22508,22863,2,12
1,4,8,23256,23263,3,393
1,4,707,89038,89744,4,65775
1,4,120,90086,90205,5,342
1,4,1,180538,180538,6,90333
1,4,1,180913,180913,7,375
1,4,365,250222,250586,8,69309
1,5,338,21687,22024,1,0
1,5,1,22496,22496,2,472
1,5,127,22628,22754,3,132
1,5,1,23122,23122,4,368
1,5,221,73291,73511,5,50169
1,5,1,73871,73871,6,360
1,5,1,74685,74685,7,814
1,5,1,74932,74932,8,247
1,5,114,75053,75166,9,121
1,5,1,76010,76010,10,844
1,5,124,76859,76982,11,849
1,5,1,84033,84033,12,7051
1,5,234,84381,84614,13,348
1,5,615,84858,85472,14,244
1,5,1,90086,90086,15,4614
1,5,1,181511,181511,16,91425
1,5,483,267394,267876,17,85883
1,5,113,268126,268238,18,250
1,6,1,73156,73156,1,0
1,6,1,73758,73758,2,602
1,6,362,74094,74455,3,336
1,6,1,74932,74932,4,477
1,6,1,75288,75288,5,356
1,6,128,75883,76010,6,595
1,6,126,76725,76850,7,715
1,6,253,77209,77461,8,359
1,6,238,78217,78454,9,756
1,6,1,79208,79208,10,754
1,6,346,79885,80230,11,677
1,6,1,80249,80249,12,19
1,6,259,80859,81117,13,610
1,6,1,81357,81357,14,240
1,6,1,81950,81950,15,593
1,6,113,82571,82683,16,621
1,6,1,93082,93082,17,10399
1,6,1,93328,93328,18,246
1,6,489,104042,104530,19,10714
1,6,1,105486,105486,20,956
1,6,8,106188,106195,21,702
1,6,355,249868,250222,22,143673
1,7,241,22268,22508,1,0
1,7,8,82314,82321,2,59806
1,7,112,88451,88562,3,6130
1,7,1,99461,99461,4,10899
1,7,1,249868,249868,5,150407
1,7,1,250586,250586,6,718
1,8,1,22863,22863,1,0
1,8,1,23256,23256,2,393
1,8,119,26758,26876,3,3502
1,8,1,73758,73758,4,46882
1,8,1,75053,75053,5,1295
1,8,1,75513,75513,6,460
1,8,1,77099,77099,7,1586
1,8,1,77456,77456,8,357
1,8,1,78214,78214,9,758
1,8,1,78449,78449,10,235
1,8,1,79775,79775,11,1326
1,8,1,80494,80494,12,719
1,8,1,89744,89744,13,9250
1,8,1,90086,90086,14,342
1,8,1,98610,98610,15,8524
1,8,1,98631,98631,16,21
1,8,1,107273,107273,17,8642
1,8,1,267159,267159,18,159886
1,8,1,267508,267508,19,349
1,8,360,267876,268235,20,368
1,9,115,22387,22501,1,0
1,9,123,22628,22750,2,127
1,9,1,23122,23122,3,372
1,9,128,75883,76010,4,52761
1,9,6,76854,76859,5,844
1,9,1,82683,82683,6,5824
1,9,1,87402,87402,7,4719
1,9,1,93096,93096,8,5694
1,9,1,93450,93450,9,354
1,9,1,109287,109287,10,15837
1,9,1,254170,254170,11,144883
1,9,1,254526,254526,12,356
1,9,1,254763,254763,13,237
1,9,1,256333,256333,14,1570
1,9,1,268238,268238,15,11905
1,10,1,22024,22024,1,0
1,10,1,104286,104286,2,82262
1,10,1,250096,250096,3,145810
1,10,601,267159,267759,4,17063
1,10,1,267881,267881,5,122
1,11,117,22029,22145,1,0
1,11,1,22754,22754,2,609
1,11,1,91672,91672,3,68918
1,11,123,92260,92382,4,588
1,11,1,106797,106797,5,14415
1,11,1,183576,183576,6,76779
1,11,464,183926,184389,7,350
1,11,2555,184768,187322,8,379
1,11,617,187914,188530,9,592
1,11,505,188896,189400,10,366
1,12,1,258599,258599,1,0
1,12,978,258839,259816,2,240
1,12,115,260178,260292,3,362
1,13,1405,73284,74688,1,0
1,13,1,75056,75056,2,368
1,13,1,76850,76850,3,1794
1,13,4,76975,76978,4,125
1,13,1,77209,77209,5,231
1,13,133,77575,77707,6,366
1,13,130,78085,78214,7,378
1,13,1,78575,78575,8,361
1,13,1,91070,91070,9,12495
1,13,1,158676,158676,10,67606
1,13,128,250344,250471,11,91668
1,13,230,267041,267270,12,16570
1,13,248,267634,267881,13,364
1,13,1,268238,268238,14,357
1,14,1,81357,81357,1,0
1,14,252,90198,90449,2,8841
1,14,1,92853,92853,3,2404
1,14,1,99224,99224,4,6371
1,14,478,108678,109155,5,9454
1,14,845,159153,159997,6,49998
1,14,497,163088,163584,7,3091
1,14,8,164055,164062,8,471
1,14,251,164426,164676,9,364
1,14,1,165028,165028,10,352
1,14,365,250222,250586,11,85194
1,14,126,253925,254050,12,3339
1,15,1,72919,72919,1,0
1,15,120,73639,73758,2,720
1,15,362,74094,74455,3,336
1,15,1,75288,75288,4,833
1,15,1,76010,76010,5,722
1,15,130,76725,76854,6,715
1,15,1,77338,77338,7,484
1,15,128,77575,77702,8,237
1,15,1,78080,78080,9,378
1,15,127,78449,78575,10,369
1,15,253,78956,79208,11,381
1,15,244,81950,82193,12,2742
1,15,1,87762,87762,13,5569
1,15,242,89616,89857,14,1854
1,15,1,97231,97231,15,7374
1,15,8,103066,103073,16,5835
1,15,1,162840,162840,17,59767
1,15,118,182237,182354,18,19397
1,15,1,254170,254170,19,71816
1,16,1,77209,77209,1,0
1,16,1,78449,78449,2,1240
1,16,1,79082,79082,3,633
1,16,1,79542,79542,4,460
1,16,240,80494,80733,5,952
1,16,1,81124,81124,6,391
1,16,1,83034,83034,7,1910
1,16,22,83286,83307,8,252
